Reference,London Borough Name,Attendant Location,Severity,Number Of Casualties,Number Of Vehicles,Date,Day,Time,Highway,Road Class 1,Road Number 1,Road Type,Speed Limit,Junction Detail,Junction Control,Road Class 2,Road Number 2,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Easting,Northing,Longitude,Latitude,Ward Code,Ward Name,Spatial Accuracy,Location,Socrata ID,Last Uploaded,Organisation URI
0105CW10220,CAMDEN,OXFORD STREET J/W TOTTENHAM COURT ROAD,3 Slight,1,2,16/01/2005 05:30:00 AM,Sunday   ,5.30,3 Bor,A,40,6 Single Cwy,2 30 MPH,7 Multi Jun,2 Auto Sig,A,400,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529820,181380,-0.13045,51.516444,,,Unknown,"(51.516444, -0.13045)",34581,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10266,CAMDEN,HOWLAND STREET J/W CHARLOTTE STREET,3 Slight,1,2,20/01/2005 06:45:00 PM,Thursday ,18.45,3 Bor,C,0,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,Unclassified,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529280,181910,-0.138034,51.521331,E05000129,Bloomsbury,Unknown,"(51.521331, -0.138034)",34580,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10277,CAMDEN,FINCHLEY ROAD J/W BOUNDARY ROAD,2 Serious,1,1,24/02/2005 09:00:00 AM,Thursday ,9.00,1 TLRN,A,41,3 Dual Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,C,0,0 No Xing Facility In 50m,1 Daylight,3 Snowing,2 Road-Wet,0 None,0 None,526600,183890,-0.175929,51.539731,E05000144,Swiss Cottage,Unknown,"(51.539731, -0.175929)",34579,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10305,CAMDEN,AVENUE RD J/W ACACIA RD,3 Slight,1,2,05/03/2005 03:00:00 PM,Saturday ,15.00,3 Bor,B,525,3 Dual Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,C,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,527140,183710,-0.168212,51.537993,,,Unknown,"(51.537993, -0.168212)",34578,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10407,CAMDEN,OXFORD STREET J/W TOTTENHAM COURT ROAD,3 Slight,1,1,28/03/2005 06:44:00 PM,Monday   ,18.44,3 Bor,A,40,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,400,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529800,181380,-0.130738,51.516449,,,Unknown,"(51.516449, -0.130738)",34577,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10430,CAMDEN,NFL HIGH HOLBORN 25M E J/W KINGSWAY,3 Slight,1,1,28/03/2005 06:05:00 PM,Monday   ,18.05,3 Bor,A,40,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530530,181530,-0.120168,51.517629,E05000138,Holborn and Covent Garden,Unknown,"(51.517629, -0.120168)",34576,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10565,CAMDEN,CHARING CROSS ROAD J/W NEW OXFORD STREET,3 Slight,1,2,29/04/2005 12:55:00 PM,Friday   ,12.55,3 Bor,A,40,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,40,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529820,181370,-0.130454,51.516354,,,Unknown,"(51.516354, -0.130454)",34575,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10636,CAMDEN,AVENUE ROAD J/W ACACIA ROAD,3 Slight,1,2,13/05/2005 12:36:00 PM,Friday   ,12.36,3 Bor,B,525,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,C,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,527140,183700,-0.168216,51.537903,,,Unknown,"(51.537903, -0.168216)",34574,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10775,CAMDEN,AVENUE ROAD J/W ST EDMUND'S TERRACE,3 Slight,1,2,16/05/2005 08:50:00 AM,Monday   ,8.50,3 Bor,B,525,6 Single Cwy,2 30 MPH,6 Crossroads,4 Give Way/Uncontrolled,B,525,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,527380,183450,-0.164848,51.535602,,,Unknown,"(51.535602, -0.164848)",34573,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10813,CAMDEN,NFL OUTER CIRCLE J/W CHESTER GATE,2 Serious,1,2,09/06/2005 08:04:00 AM,Thursday ,8.04,3 Bor,Unclassified,0,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528720,182600,-0.145849,51.52766,E05000142,Regent's Park,Unknown,"(51.52766, -0.145849)",34572,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10823,CAMDEN,OUTER CIRCLE J/W GLOUCESTER GATE,2 Serious,1,2,26/06/2005 06:00:00 PM,Sunday   ,18.00,3 Bor,Unclassified,0,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528530,183430,-0.148284,51.535162,E05000142,Regent's Park,Unknown,"(51.535162, -0.148284)",34571,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10832,CAMDEN,TOTTENHAM COURT ROAD J/W PERCY STREET,3 Slight,1,1,24/06/2005 08:00:00 PM,Friday   ,20.00,3 Bor,A,400,2 One-Way St,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,A,400,0 No Xing Facility In 50m,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,529660,181640,-0.132659,51.518818,E05000129,Bloomsbury,Unknown,"(51.518818, -0.132659)",34570,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10876,CAMDEN,RUSSELL SQUARE J/W BERNARD STREET,2 Serious,1,1,01/07/2005 07:40:00 AM,Friday   ,7.40,3 Bor,A,4200,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,B,504,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530130,182100,-0.125719,51.522843,E05000129,Bloomsbury,Unknown,"(51.522843, -0.125719)",34569,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10937,CAMDEN,CHARING CROSS ROAD J/W ANDREW BORDE STREET,3 Slight,1,1,11/07/2005 03:40:00 PM,Monday   ,15.40,3 Bor,A,400,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,40,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529830,181310,-0.130332,51.515813,E05000138,Holborn and Covent Garden,Unknown,"(51.515813, -0.130332)",34568,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW10953,CAMDEN,OXFORD STREET J/W TOTTENHAM COURT RD,3 Slight,1,1,01/07/2005 12:15:00 PM,Friday   ,12.15,3 Bor,A,40,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,A,400,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529820,181380,-0.13045,51.516444,,,Unknown,"(51.516444, -0.13045)",34567,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11015,CAMDEN,CHARING CROSS ROAD J/W NEW OXFORD STREET,3 Slight,1,2,19/07/2005 03:53:00 PM,Tuesday  ,15.53,3 Bor,A,40,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,A,40,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529820,181370,-0.130454,51.516354,,,Unknown,"(51.516354, -0.130454)",34566,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11024,CAMDEN,CHARING CROSS ROAD J/W OXFORD STREET,3 Slight,1,1,24/07/2005 07:15:00 PM,Sunday   ,19.15,3 Bor,A,40,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,A,40,5 Pedn Phase At Ats,1 Daylight,1 Fine,2 Road-Wet,0 None,0 None,529820,181370,-0.130454,51.516354,,,Unknown,"(51.516354, -0.130454)",34565,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11110,CAMDEN,FINCHLEY ROAD J/W BOUNDARY ROAD,3 Slight,1,1,02/07/2005 09:45:00 AM,Saturday ,9.45,1 TLRN,A,41,3 Dual Cwy,3 40 MPH,6 Crossroads,2 Auto Sig,A,41,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,526600,183860,-0.17594,51.539462,,,Unknown,"(51.539462, -0.17594)",34564,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11151,CAMDEN,AVENUE ROAD J/W ST EDMUND'S TERRACE,3 Slight,1,2,10/08/2005 08:35:00 AM,Wednesday,8.35,3 Bor,B,525,3 Dual Cwy,2 30 MPH,6 Crossroads,4 Give Way/Uncontrolled,B,525,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,527370,183470,-0.164984,51.535784,,,Unknown,"(51.535784, -0.164984)",34563,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11152,CAMDEN,SHAFTESBURY AVENUE J/W MERCER STREET,3 Slight,1,2,20/07/2005 01:00:00 PM,Wednesday,13.00,3 Bor,A,401,6 Single Cwy,2 30 MPH,6 Crossroads,4 Give Way/Uncontrolled,Unclassified,0,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530000,181140,-0.127946,51.514246,E05000138,Holborn and Covent Garden,Unknown,"(51.514246, -0.127946)",34562,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11226,CAMDEN,AVENUE ROAD J/W NORFOLK RD,3 Slight,1,2,11/09/2005 04:37:00 PM,Sunday   ,16.37,3 Bor,B,525,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,B,525,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,527050,183770,-0.169488,51.538552,,,Unknown,"(51.538552, -0.169488)",34561,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11229,CAMDEN,OXFORD STREET J/W TOTTENHAM COURT RD,3 Slight,1,1,17/09/2005 09:55:00 PM,Saturday ,21.55,3 Bor,A,40,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,40,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529790,181370,-0.130886,51.516361,,,Unknown,"(51.516361, -0.130886)",34560,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11230,CAMDEN,OUTER CIRCLE J/W CHESTER ROAD,3 Slight,1,2,21/08/2005 04:40:00 PM,Sunday   ,16.40,3 Bor,Unclassified,0,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528710,182740,-0.145942,51.52892,E05000142,Regent's Park,Unknown,"(51.52892, -0.145942)",34559,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11288,CAMDEN,CHARING CROSS RD J/W OXFORD STREET,3 Slight,1,2,30/09/2005 07:25:00 AM,Friday   ,7.25,3 Bor,A,40,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,A,40,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529820,181370,-0.130454,51.516354,,,Unknown,"(51.516354, -0.130454)",34558,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11302,CAMDEN,CAMDEN ROAD 55M SW J/W MURRAY STREET,3 Slight,1,2,05/10/2005 07:50:00 PM,Wednesday,19.50,1 TLRN,A,503,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529480,184570,-0.134175,51.54519,E05000131,Cantelowes,Unknown,"(51.54519, -0.134175)",34557,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11347,CAMDEN,AVENUE ROAD J/W ACACIA ROAD,3 Slight,2,2,12/08/2005 08:32:00 AM,Friday   ,8.32,3 Bor,B,525,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,C,0,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,527150,183700,-0.168072,51.5379,,,Unknown,"(51.5379, -0.168072)",34556,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11403,CAMDEN,FORDWYCH ROAD 65M SOUTH EAST J/W MILL LANE,3 Slight,1,2,17/10/2005 01:20:00 PM,Monday   ,13.20,3 Bor,C,0,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,524530,185010,-0.205365,51.550257,E05000132,Fortune Green,Unknown,"(51.550257, -0.205365)",34555,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11407,CAMDEN,NFL NEW OXFORD STREET J/W BURY PLACE,3 Slight,1,1,30/08/2005 12:01:00 AM,Tuesday  ,0.01,3 Bor,A,40,2 One-Way St,2 30 MPH,3 T/Stag Jun,2 Auto Sig,A,40,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,530310,181480,-0.123355,51.51723,E05000138,Holborn and Covent Garden,Unknown,"(51.51723, -0.123355)",34554,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11438,CAMDEN,CHARING CROSS ROAD J/W TOTTENHAM COURT ROAD,3 Slight,1,2,16/10/2005 02:48:00 PM,Sunday   ,14.48,3 Bor,A,40,6 Single Cwy,2 30 MPH,7 Multi Jun,2 Auto Sig,A,400,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529820,181370,-0.130454,51.516354,,,Unknown,"(51.516354, -0.130454)",34553,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11521,CAMDEN,CHESTER RD J/W OUTER CIRCLE,3 Slight,1,1,24/10/2005 07:15:00 AM,Monday   ,7.15,3 Bor,Unclassified,0,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,0 No Xing Facility In 50m,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,528700,182740,-0.146086,51.528922,E05000142,Regent's Park,Unknown,"(51.528922, -0.146086)",34552,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11589,CAMDEN,KILBURN HIGH ROAD J/W KILBURN PARK ROAD,3 Slight,1,2,11/10/2005 05:50:00 PM,Tuesday  ,17.50,3 Bor,A,5,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,B,414,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,525660,183350,-0.189669,51.535088,,,Unknown,"(51.535088, -0.189669)",34551,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11684,CAMDEN,KILBURN HIGH ROAD J/W BRONDESBURY VILLAS,3 Slight,1,2,04/11/2005 06:10:00 PM,Friday   ,18.10,3 Bor,A,5,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,525400,183640,-0.193312,51.537752,,,Unknown,"(51.537752, -0.193312)",34550,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11708,CAMDEN,NFL CHARING CROSS ROAD J/W OXFORD STREET,3 Slight,1,2,11/11/2005 08:45:00 AM,Friday   ,8.45,3 Bor,A,40,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,A,40,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529820,181370,-0.130454,51.516354,,,Unknown,"(51.516354, -0.130454)",34549,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11730,CAMDEN,CHESTER GATE J/W OUTER CIRCLE REGENTS PARK,3 Slight,1,2,23/11/2005 09:10:00 AM,Wednesday,9.10,3 Bor,Unclassified,0,2 One-Way St,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528720,182600,-0.145849,51.52766,E05000142,Regent's Park,Unknown,"(51.52766, -0.145849)",34548,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11826,CAMDEN,CHARING CROSS RD J/W ANDREW BORDE ST,3 Slight,2,1,14/12/2005 02:20:00 PM,Wednesday,14.20,3 Bor,A,400,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,A,40,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529830,181310,-0.130332,51.515813,E05000138,Holborn and Covent Garden,Unknown,"(51.515813, -0.130332)",34547,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11829,CAMDEN,OXFORD ST J/W CHARING CROSS RD,3 Slight,1,1,16/12/2005 11:03:00 PM,Friday   ,23.03,3 Bor,A,40,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,400,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529800,181370,-0.130742,51.516359,,,Unknown,"(51.516359, -0.130742)",34546,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11873,CAMDEN,OXFORD ST J/W TOTTENHAM COURT RD,3 Slight,1,2,19/12/2005 05:45:00 AM,Monday   ,5.45,3 Bor,A,40,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,400,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529820,181370,-0.130454,51.516354,,,Unknown,"(51.516354, -0.130454)",34545,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11891,CAMDEN,OXFORD ST J/W TOTTENHAM COURT RD,3 Slight,1,1,27/12/2005 06:00:00 PM,Tuesday  ,18.00,3 Bor,A,40,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,A,400,5 Pedn Phase At Ats,2 Dark,3 Snowing,2 Road-Wet,0 None,0 None,529790,181370,-0.130886,51.516361,,,Unknown,"(51.516361, -0.130886)",34544,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105CW11904,CAMDEN,NEW OXFORD ST 23M E FROM J/W EARNSHAW ST,3 Slight,1,1,28/12/2005 01:08:00 AM,Wednesday,1.08,3 Bor,A,40,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,529940,181400,-0.128714,51.516597,E05000138,Holborn and Covent Garden,Unknown,"(51.516597, -0.128714)",34543,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105EK00181,CAMDEN,PARKWAY J/W PRINCE ALBERT ROAD,3 Slight,2,1,15/02/2005 04:12:00 AM,Tuesday  ,4.12,3 Bor,A,4201,7 Slip Rd,2 30 MPH,3 T/Stag Jun,2 Auto Sig,A,5205,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,528630,183540,-0.146802,51.536128,E05000130,Camden Town with Primrose Hill,Unknown,"(51.536128, -0.146802)",34542,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105EK40044,CAMDEN,KILBURN HIGH ROAD J/W BRONDESBURY ROAD,3 Slight,1,1,15/02/2005 08:29:00 AM,Tuesday  ,8.29,3 Bor,A,5,3 Dual Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,B,451,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,525330,183730,-0.194289,51.538577,,,Unknown,"(51.538577, -0.194289)",34541,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
0105EK40045,CAMDEN,NFL TAVISTOCK SQUARE 43 M NW J/W ENDSLEIGH PLACE,3 Slight,1,1,19/02/2005 08:35:00 PM,Saturday ,20.35,3 Bor,Unclassified,0,6 Single Cwy,2 30 MPH,3 T/Stag Jun,2 Auto Sig,Unclassified,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,529840,182330,-0.129812,51.524977,E05000129,Bloomsbury,Unknown,"(51.524977, -0.129812)",34540,04/11/2016 10:29:06 AM,http://opendatacommunities.org/id/london-borough-council/camden
